date,player,team,depth,median snap %,last snap %,consensus_line,prizepicks_line,edge
,Jalen Brooks,,WR3,0.28500000000000003,0.27,,,
,Tejhaun Palmer,,WR4,0.07,0.07,,,
,David Sills,,WR3,0.49,0.71,,,
,Dylan Drummond,,WR4,0.16,0.16,,,
,DeAndre Hopkins,,WR3,0.32,0.25,,,
,Devontez Walker,,WR4,0.19,0.73,,,
,Keon Coleman,,WR3,0.62,0.45,,,
,Curtis Samuel,,WR4,0.41,0.44,,,
,Xavier Legette,,WR3,0.685,0.4,,,
,Jimmy Horn,,WR4,0.215,0.28,,,
,Luther Burden,,WR3,0.44,0.53,,,
,Olamide Zaccheaus,,WR4,0.5449999999999999,0.2,,,
,Andrei Iosivas,,WR3,0.8,0.53,,,
,Mitchell Tinsley,,WR4,0.15,0.12,,,
,Isaiah Bond,,WR3,0.48,0.54,,,
,Malachi Corley,,WR4,0.26,0.42,,,
,Ryan Flournoy,,WR3,0.44,0.87,,,
,Jalen Tolbert,,WR4,0.49,0.38,,,
,Pat Bryant,,WR3,0.51,0.16,,,
,Marvin Mims,,WR4,0.36,0.66,,,
,Isaac TeSlaa,,WR3,0.34,0.6,,,
,Kalif Raymond,,WR4,0.44,0.19,,,
,Jayden Reed,,WR3,0.49,0.68,,,
,Matthew Golden,,WR4,0.53,0.49,,,
,Christian Kirk,,WR3,0.51,0.69,,,
,Xavier Hutchinson,,WR4,0.62,0.84,,,
,Josh Downs,,WR3,0.595,0.63,,,
,Ashton Dulin,,WR4,0.16999999999999998,0.37,,,
,Parker Washington,,WR3,0.71,0.71,,,
,Tim Patrick,,WR4,0.27,0.27,,,
,JuJu Smith-Schuster,,WR3,0.62,0.78,,,
,Jalen Royals,,WR4,0.12,0.67,,,
,Konata Mumpfield,,WR3,0.38,0.23,,,
,Jordan Whittington,,WR4,0.44,0.05,,,
,Keenan Allen,,WR3,0.57,0.6,,,
,Tre Harris,,WR4,0.46,0.57,,,
,Dont'e Thornton Jr.,,WR3,,,,,
,Tyler Lockett,,WR4,0.52,0.52,,,
,Cedrick Wilson Jr.,,WR3,0.29000000000000004,0.64,,,
,Theo Wease Jr.,,WR4,,,,,
,Jalen Nailor,,WR3,0.63,0.75,,,
,Tai Felton,,WR4,0.0,0.13,,,
2026-02-08 06:30PM EST,Mack Hollins,NE,WR3,0.655,0.61,25.5,27.5,-2.0
,Kyle Williams,,WR4,0.225,0.23,,,
,Dante Pettis,,WR3,0.06,0.76,,,
,Ronnie Bell,,WR4,0.28500000000000003,0.53,,,
,Gunner Olszewski,,WR3,0.015,0.84,,,
,Dalen Cambre,,WR4,0.03,0.09,,,
,Isaiah Williams,,WR3,0.42,0.52,,,
,Tyler Johnson,,WR4,0.385,0.16,,,
,Jahan Dotson,,WR3,0.54,0.52,,,
,Darius Cooper,,WR4,0.22499999999999998,0.29,,,
,Marquez Valdes-Scantling,,WR3,0.52,0.58,,,
,Scott Miller,,WR4,0.14500000000000002,0.12,,,
2026-02-08 06:30PM EST,Rashid Shaheed,SEA,WR3,0.59,0.57,21.5,23.5,-2.0
,Jake Bobo,,WR4,0.16,0.19,,,
,Demarcus Robinson,,WR3,0.435,0.4,,,
,Kendrick Bourne,,WR4,0.595,0.4,,,
,Emeka Egbuka,,WR3,0.85,0.58,,,
,Jalen McMillan,,WR4,0.525,0.55,,,
,James Proche II,,WR3,,,,,
,Mason Kinsey,,WR4,0.065,0.02,,,
,Treylon Burks,,WR3,0.585,0.68,,,
,Chris Moore,,WR4,0.5,0.33,,,
