date,player,team,depth,median snap %,last snap %,consensus_line,prizepicks_line,edge
,Jalen Brooks,,WR3,0.3,0.3,,,
,Steven Sims,,WR4,0.08499999999999999,0.05,,,
,David Sills,,WR3,0.47,0.15,,,
,Dylan Drummond,,WR4,0.195,0.0,,,
2026-01-04 08:20PM EST,DeAndre Hopkins,BAL,WR3,0.325,0.25,20.5,20.5,0.0
,Devontez Walker,,WR4,0.15,0.26,,,
,Josh Palmer,,WR3,0.5,0.5,,,
,Tyrell Shavers,,WR4,0.435,0.57,,,
,Xavier Legette,,WR3,0.7,0.31,14.5,,
,Jimmy Horn,,WR4,0.21,0.31,,,
2026-01-04 04:25PM EST,Luther Burden,CHI,WR3,0.33999999999999997,0.58,58.5,58.5,0.0
2026-01-04 04:25PM EST,Olamide Zaccheaus,CHI,WR4,0.58,0.86,26.5,26.5,0.0
2026-01-04 01:00PM EST,Andrei Iosivas,CIN,WR3,0.815,0.7,15.5,14.5,1.0
,Mitchell Tinsley,,WR4,0.16,0.29,,,
,Isaiah Bond,,WR3,0.48,0.23,,,
,Malachi Corley,,WR4,0.255,0.38,,,
2026-01-04 01:00PM EST,Ryan Flournoy,DAL,WR3,0.43,0.4,29.5,28.5,1.0
,Jalen Tolbert,,WR4,0.5549999999999999,0.62,,,
2026-01-04 04:25PM EST,Pat Bryant,DEN,WR3,0.525,0.64,30.5,29.5,1.0
,Marvin Mims,,WR4,0.355,0.47,,,
2026-01-04 04:25PM EST,Isaac TeSlaa,DET,WR3,0.34,0.52,26.5,23.5,3.0
,Kalif Raymond,,WR4,0.445,0.09,,,
,Jayden Reed,,WR3,0.49,0.51,,,
,Matthew Golden,,WR4,0.53,0.53,,,
,Christian Kirk,,WR3,0.49,0.45,,,
,Xavier Hutchinson,,WR4,0.56,0.48,,,
,Josh Downs,,WR3,0.58,0.61,,,
,Ashton Dulin,,WR4,0.16,0.12,,,
2026-01-04 01:00PM EST,Parker Washington,JAC,WR3,0.71,0.81,47.5,47.5,0.0
,Tim Patrick,,WR4,0.26,0.17,,,
2026-01-04 04:25PM EST,JuJu Smith-Schuster,KC,WR3,0.5700000000000001,0.81,23.5,23.5,0.0
,Jalen Royals,,WR4,0.095,0.12,,,
,Konata Mumpfield,,WR3,0.38,0.66,,,
,Xavier Smith,,WR4,0.16,0.51,,,
,Keenan Allen,,WR3,0.57,0.57,,,
,Tre Harris,,WR4,0.455,0.46,,,
,Dont'e Thornton Jr.,,WR3,,,,,
2026-01-04 04:25PM EST,Tyler Lockett,LV,WR4,0.53,0.56,17.5,17.5,0.0
,Cedrick Wilson Jr.,,WR3,0.28,0.69,,,
,Theo Wease Jr.,,WR4,,,,,
2026-01-04 01:00PM EST,Jalen Nailor,MIN,WR3,0.625,0.43,16.5,16.5,0.0
,Tai Felton,,WR4,0.0,0.0,,,
2026-01-04 04:25PM EST,Kyle Williams,NE,WR3,0.22,0.85,19.5,19.5,0.0
2026-01-04 04:25PM EST,DeMario Douglas,NE,WR4,0.235,0.14,10.5,10.5,0.0
2026-01-04 01:00PM EST,Dante Pettis,NO,WR3,0.04,0.69,37.5,37.5,0.0
2026-01-04 01:00PM EST,Ronnie Bell,NO,WR4,0.04,0.04,16.5,16.5,0.0
,Gunner Olszewski,,WR3,0.01,0.16,,,
,Dalen Cambre,,WR4,0.02,0.06,,,
2026-01-04 04:25PM EST,Isaiah Williams,NYJ,WR3,0.405,0.69,22.5,22.5,0.0
,Tyler Johnson,,WR4,0.385,0.16,,,
,Jahan Dotson,,WR3,0.54,0.48,,,
,Darius Cooper,,WR4,0.20500000000000002,0.31,,,
2026-01-04 08:20PM EST,Adam Thielen,PIT,WR3,0.24,0.86,19.5,20.5,-1.0
2026-01-04 08:20PM EST,Marquez Valdes-Scantling,PIT,WR4,0.42,0.82,27.5,27.5,0.0
,Rashid Shaheed,,WR3,0.64,0.48,26.5,,
,Jake Bobo,,WR4,0.15,0.13,,,
,Demarcus Robinson,,WR3,0.435,0.88,9.5,,
,Kendrick Bourne,,WR4,0.675,0.52,26.5,,
,Emeka Egbuka,,WR3,0.85,0.58,25.5,,
,Jalen McMillan,,WR4,0.525,0.55,31.5,,
,James Proche II,,WR3,,,,,
,Mason Kinsey,,WR4,0.08,0.11,,,
,Treylon Burks,,WR3,0.51,0.91,,,
,Chris Moore,,WR4,0.57,0.18,,,
